id,name,count,classification_result
CL:0002623,acinar cell of salivary gland,144747,Epithelial cell
CL:0002626,immature astrocyte,1150,Glial cell
CL:0002627,mature astrocyte,28029,Glial cell
CL:0002629,mature microglial cell,63848,Macrophage
CL:0002632,epithelial cell of lower respiratory tract,142285,Epithelial cell
CL:0002633,respiratory basal cell,209499,Epithelial cell
CL:0002657,glandular cell of esophagus,2216,Epithelial cell
CL:0002671,endothelial stalk cell,4225,Endothelial cell
CL:0002672,retinal progenitor cell,10298,Progenitor/Stem cell
CL:0002673,tongue muscle cell,606,Muscle cell
CL:0002677,naive regulatory T cell,1295,T cell
CL:0002678,memory regulatory T cell,1212,T cell
CL:0003050,S cone cell,8970,Neuron
CL:0004217,H1 horizontal cell,74038,Neuron
CL:0004218,H2 horizontal cell,13823,Neuron
CL:0004219,A2 amacrine cell,1070,Neuron
CL:0004232,starburst amacrine cell,41720,Neuron
CL:0005006,ionocyte,7246,Epithelial cell
CL:0005009,renal principal cell,5153,Epithelial cell
CL:0005010,renal intercalated cell,5875,Epithelial cell
CL:0005011,renal alpha-intercalated cell,5045,Epithelial cell
CL:0005012,multi-ciliated epithelial cell,80614,Epithelial cell
CL:0005019,pancreatic epsilon cell,1309,Pancreatic islet cell
CL:0005021,mesenchymal lymphangioblast,410,Progenitor/Stem cell
CL:0005022,vascular lymphangioblast,8847,Progenitor/Stem cell
CL:0005025,visceromotor neuron,756,Neuron
CL:0005026,hepatoblast,84394,Progenitor/Stem cell
CL:0007004,premigratory neural crest cell,644,Progenitor/Stem cell
CL:0007010,preosteoblast,736,Progenitor/Stem cell
CL:0007011,enteric neuron,2237,Neuron
CL:0008001,hematopoietic precursor cell,407351,Progenitor/Stem cell
CL:0008002,skeletal muscle fiber,21175,Muscle cell
CL:0008011,skeletal muscle satellite stem cell,69784,Progenitor/Stem cell
CL:0008015,inhibitory motor neuron,2056,Neuron
CL:0008017,adult skeletal muscle myoblast,154,Progenitor/Stem cell
CL:0008019,mesenchymal cell,379282,Other/Unknown
CL:0008024,pancreatic endocrine cell,8,Pancreatic islet cell
CL:0008031,cortical interneuron,20470,Neuron
CL:0008034,mural cell,529348,Pericyte
CL:0008035,microcirculation associated smooth muscle cell,15257,Muscle cell
CL:0008036,extravillous trophoblast,95362,Epithelial cell
CL:0009002,inflammatory cell,91,Other/Unknown
CL:0009005,salivary gland cell,2550,Epithelial cell
CL:0009006,enteroendocrine cell of small intestine,1662,Neuroendocrine cell
CL:0009008,gastrointestinal tract (lamina propria) macrophage of large intestine,807,Macrophage
CL:0009009,paneth cell of colon,1393,Epithelial cell
CL:0009010,transit amplifying cell,168207,Progenitor/Stem cell
CL:0009011,transit amplifying cell of colon,20068,Progenitor/Stem cell
CL:0009012,transit amplifying cell of small intestine,6439,Progenitor/Stem cell
CL:0009016,intestinal crypt stem cell of large intestine,1337,Progenitor/Stem cell
CL:0009017,intestinal crypt stem cell of small intestine,3342,Progenitor/Stem cell
CL:0009022,stromal cell of lamina propria of small intestine,640,Fibroblast
CL:0009038,colon macrophage,1252,Macrophage
CL:0009039,colon goblet cell,3156,Epithelial cell
CL:0009041,tuft cell of colon,2645,Epithelial cell
CL:0009042,enteroendocrine cell of colon,199,Neuroendocrine cell
CL:0009043,intestinal crypt stem cell of colon,10983,Progenitor/Stem cell
CL:0009070,corticomedullary thymic epithelial cell,12692,Epithelial cell
CL:0009071,medullary thymic epithelial cell type 1,9338,Epithelial cell
CL:0009072,medullary thymic epithelial cell type 2,1878,Epithelial cell
CL:0009073,medullary thymic epithelial cell type 3,1997,Epithelial cell
CL:0009075,myo-medullary thymic epithelial cell,2337,Epithelial cell
CL:0009076,neuro-medullary thymic epithelial cell,3661,Epithelial cell
CL:0009078,thymic fibroblast type 1,32606,Fibroblast
CL:0009079,thymic fibroblast type 2,24643,Fibroblast
CL:0009080,tuft cell of small intestine,844,Epithelial cell
CL:0009086,endothelial cell of respiratory system lymphatic vessel,3366,Endothelial cell
CL:0009089,lung pericyte,20682,Pericyte
CL:0009092,endothelial cell of placenta,24836,Endothelial cell
CL:0009095,endothelial cell of uterus,13271,Endothelial cell
CL:0009099,fibro/adipogenic progenitor cell,16021,Progenitor/Stem cell
CL:0009111,centrocyte,1197,B cell
CL:0009112,centroblast,3663,B cell
CL:0009113,T follicular regulatory cell,831,T cell
CL:0009116,progenitor cell of mammary luminal epithelium,18784,Progenitor/Stem cell
CL:0010001,stromal cell of bone marrow,213,Fibroblast
CL:0010003,epithelial cell of alveolus of lung,31359,Epithelial cell
CL:0010006,cardiac blood vessel endothelial cell,72633,Endothelial cell
CL:0010008,cardiac endothelial cell,82616,Endothelial cell
CL:0010011,cerebral cortex GABAergic interneuron,81177,Neuron
CL:0010012,cerebral cortex neuron,183017,Neuron
CL:0010022,cardiac neuron,18342,Neuron
CL:0011004,lens fiber cell,1101,Epithelial cell
CL:0011005,GABAergic interneuron,2630,Neuron
CL:0011012,neural crest cell,9896,Progenitor/Stem cell
CL:0011019,mesothelial cell of epicardium,5037,Mesothelial cell
CL:0011020,neural progenitor cell,238012,Progenitor/Stem cell
CL:0011024,double negative T regulatory cell,5147,T cell
CL:0011025,exhausted T cell,5261,T cell
CL:0011026,progenitor cell,86803,Progenitor/Stem cell
CL:0011027,skeletal muscle fibroblast,5913,Fibroblast
CL:0011031,monocyte-derived dendritic cell,12490,Dendritic cell
CL:0011101,chorionic trophoblast cell,366,Epithelial cell
CL:0011103,sympathetic neuron,4744,Neuron
CL:0011108,colon epithelial cell,47622,Epithelial cell
CL:0011115,precursor cell,567,Progenitor/Stem cell
CL:0012001,neuron of the forebrain,1332,Neuron
CL:0013000,forebrain radial glial cell,70485,Glial cell
CL:0017000,pulmonary ionocyte,2660,Epithelial cell
CL:0019001,tracheobronchial serous cell,8950,Epithelial cell
CL:0019003,tracheobronchial goblet cell,2158,Epithelial cell
CL:0019018,blood vessel smooth muscle cell,67226,Muscle cell
CL:0019019,tracheobronchial smooth muscle cell,27569,Muscle cell
CL:0019021,endothelial cell of periportal hepatic sinusoid,8479,Endothelial cell
CL:0019022,endothelial cell of pericentral hepatic sinusoid,35210,Endothelial cell
CL:0019026,periportal region hepatocyte,180994,Hepatocyte
CL:0019028,midzonal region hepatocyte,46630,Hepatocyte
CL:0019029,centrilobular region hepatocyte,95093,Hepatocyte
CL:0019031,intestine goblet cell,23655,Epithelial cell
CL:0019032,intestinal tuft cell,6650,Epithelial cell
CL:1000022,mesonephric nephron tubule epithelial cell,3513,Epithelial cell
CL:1000042,forebrain neuroblast,21456,Progenitor/Stem cell
CL:1000143,lung goblet cell,2664,Epithelial cell
CL:1000223,lung neuroendocrine cell,2522,Neuroendocrine cell
CL:1000271,lung ciliated cell,36170,Epithelial cell
CL:1000272,lung secretory cell,48231,Epithelial cell
CL:1000275,smooth muscle cell of small intestine,255,Muscle cell
CL:1000278,smooth muscle fiber of ileum,54,Muscle cell
CL:1000279,smooth muscle cell of large intestine,1197,Muscle cell
CL:1000296,epithelial cell of urethra,23634,Epithelial cell
CL:1000299,fibroblast of connective tissue of prostate,3027,Fibroblast
CL:1000304,fibroblast of connective tissue of nonglandular part of prostate,7654,Fibroblast
CL:1000305,fibroblast of connective tissue of glandular part of prostate,3106,Fibroblast
CL:1000309,epicardial adipocyte,9956,Adipocyte
CL:1000311,adipocyte of epicardial fat of left ventricle,523,Adipocyte
CL:1000312,bronchial goblet cell,4122,Epithelial cell
CL:1000320,large intestine goblet cell,4671,Epithelial cell
CL:1000326,ileal goblet cell,230,Epithelial cell
CL:1000329,tracheal goblet cell,70417,Epithelial cell
CL:1000330,serous cell of epithelium of trachea,978,Epithelial cell
CL:1000331,serous cell of epithelium of bronchus,45,Epithelial cell
CL:1000333,serous cell of epithelium of lobular bronchiole,719,Epithelial cell
CL:1000334,enterocyte of epithelium of small intestine,11250,Epithelial cell
CL:1000339,enterocyte of epithelium proper of small intestine,4245,Epithelial cell
CL:1000340,enterocyte of epithelium proper of duodenum,40485,Epithelial cell
CL:1000341,enterocyte of epithelium proper of jejunum,1215,Epithelial cell
CL:1000342,enterocyte of epithelium proper of ileum,20240,Epithelial cell
CL:1000343,paneth cell of epithelium of small intestine,5776,Epithelial cell
CL:1000347,enterocyte of colon,43157,Epithelial cell
CL:1000348,basal cell of epithelium of trachea,32681,Epithelial cell
CL:1000349,basal cell of epithelium of bronchus,521,Epithelial cell
CL:1000352,basal cell of epithelium of lobular bronchiole,121,Epithelial cell
CL:1000353,microfold cell of epithelium of small intestine,19,Epithelial cell
CL:1000398,endothelial cell of hepatic sinusoid,10374,Endothelial cell
CL:1000412,endothelial cell of arteriole,4578,Endothelial cell
CL:1000413,endothelial cell of artery,253228,Endothelial cell
CL:1000414,endothelial cell of venule,15975,Endothelial cell
CL:1000428,stem cell of epidermis,1187,Progenitor/Stem cell
CL:1000432,conjunctival epithelial cell,38558,Epithelial cell
CL:1000443,ciliary muscle cell,21468,Muscle cell
CL:1000447,epithelial cell of stratum germinativum of esophagus,754,Epithelial cell
CL:1000448,epithelial cell of sweat gland,301,Epithelial cell
CL:1000449,epithelial cell of nephron,23259,Epithelial cell
CL:1000450,epithelial cell of glomerular capsule,651,Epithelial cell
CL:1000452,parietal epithelial cell,11269,Epithelial cell
CL:1000458,melanocyte of skin,2760,Melanocyte
CL:1000486,basal cell of urothelium,20484,Epithelial cell
CL:1000487,smooth muscle cell of prostate,8702,Muscle cell
CL:1000488,cholangiocyte,7599,Epithelial cell
CL:1000491,mesothelial cell of pleura,135,Mesothelial cell
CL:1000494,nephron tubule epithelial cell,495,Epithelial cell
CL:1000495,small intestine goblet cell,10325,Epithelial cell
CL:1000497,kidney cell,7249,Other/Unknown
CL:1000500,kidney interstitial cell,18505,Fibroblast
CL:1000547,kidney inner medulla collecting duct epithelial cell,6351,Epithelial cell
CL:1000549,kidney cortex collecting duct epithelial cell,45,Epithelial cell
CL:1000597,papillary tips cell,1169,Other/Unknown
CL:1000692,kidney interstitial fibroblast,55991,Fibroblast
CL:1000695,kidney interstitial alternatively activated macrophage,11880,Macrophage
CL:1000698,kidney resident macrophage,174,Macrophage
CL:1000703,kidney pelvis urothelial cell,48,Epithelial cell
CL:1000742,glomerular mesangial cell,78,Fibroblast
CL:1000768,kidney connecting tubule epithelial cell,52752,Epithelial cell
CL:1000849,kidney distal convoluted tubule epithelial cell,69417,Epithelial cell
CL:1000891,kidney arterial blood vessel cell,1121,Endothelial cell
CL:1000892,kidney capillary endothelial cell,1580,Endothelial cell
CL:1000909,kidney loop of Henle epithelial cell,8870,Epithelial cell
CL:1001005,glomerular capillary endothelial cell,3866,Endothelial cell
CL:1001016,kidney loop of Henle ascending limb epithelial cell,508,Epithelial cell
CL:1001021,kidney loop of Henle descending limb epithelial cell,1011,Epithelial cell
CL:1001033,peritubular capillary endothelial cell,9093,Endothelial cell
CL:1001036,vasa recta cell,5698,Endothelial cell
CL:1001106,kidney loop of Henle thick ascending limb epithelial cell,274966,Epithelial cell
CL:1001107,kidney loop of Henle thin ascending limb epithelial cell,27763,Epithelial cell
CL:1001109,kidney loop of Henle cortical thick ascending limb epithelial cell,1156,Epithelial cell
CL:1001111,kidney loop of Henle thin descending limb epithelial cell,47093,Epithelial cell
CL:1001131,vasa recta ascending limb cell,1397,Endothelial cell
CL:1001225,kidney collecting duct cell,545,Epithelial cell
CL:1001285,vasa recta descending limb cell,912,Endothelial cell
CL:1001318,renal interstitial pericyte,18664,Pericyte
CL:1001428,bladder urothelial cell,81723,Epithelial cell
CL:1001431,kidney collecting duct principal cell,126946,Epithelial cell
CL:1001432,kidney collecting duct intercalated cell,81301,Epithelial cell
CL:1001433,epithelial cell of exocrine pancreas,5568,Epithelial cell
CL:1001474,medium spiny neuron,617,Neuron
CL:1001516,intestinal enteroendocrine cell,1007,Neuroendocrine cell
CL:1001567,lung endothelial cell,23907,Endothelial cell
CL:1001568,pulmonary artery endothelial cell,38524,Endothelial cell
CL:1001569,hippocampal interneuron,69859,Neuron
CL:1001571,hippocampal pyramidal neuron,132850,Neuron
CL:1001572,colon endothelial cell,2693,Endothelial cell
CL:1001576,oral mucosa squamous cell,7386,Epithelial cell
CL:1001596,salivary gland glandular cell,10690,Epithelial cell
CL:1001602,cerebral cortex endothelial cell,11941,Endothelial cell
CL:1001603,lung macrophage,161006,Macrophage
CL:1001607,articular chondrocyte,868,Chondrocyte
CL:1001609,muscle fibroblast,16974,Fibroblast
CL:1001611,cerebellar neuron,2418,Neuron
CL:2000001,peripheral blood mononuclear cell,131,Other/Unknown
CL:2000002,decidual cell,12959,Epithelial cell
CL:2000006,tonsil germinal center B cell,20505,B cell
CL:2000016,lung microvascular endothelial cell,3430,Endothelial cell
CL:2000021,sebaceous gland cell,233,Epithelial cell
CL:2000028,cerebellum glutamatergic neuron,1846,Neuron
CL:2000029,central nervous system neuron,70165,Neuron
CL:2000030,hypothalamus cell,2564,Other/Unknown
CL:2000032,peripheral nervous system neuron,6195,Neuron
CL:2000041,dermis microvascular lymphatic vessel endothelial cell,742,Endothelial cell
CL:2000042,embryonic fibroblast,11513,Fibroblast
CL:2000046,ventricular cardiac muscle cell,11011,Muscle cell
CL:2000047,brainstem motor neuron,2849,Neuron
CL:2000054,hepatic pit cell,9829,Macrophage
CL:2000055,liver dendritic cell,1441,Dendritic cell
CL:2000059,prostate gland microvascular endothelial cell,14230,Endothelial cell
CL:2000060,placental villous trophoblast,150453,Epithelial cell
CL:2000064,ovarian surface epithelial cell,16930,Epithelial cell
CL:2000092,hair follicular keratinocyte,10424,Epithelial cell
CL:2000093,bronchus fibroblast of lung,28850,Fibroblast
CL:2000095,cord blood hematopoietic stem cell,9056,Progenitor/Stem cell
CL:2000097,midbrain dopaminergic neuron,18286,Neuron
CL:3000001,Hofbauer cell,52282,Macrophage
CL:4006000,fibroblast of breast,31907,Fibroblast
CL:4023009,extratelencephalic-projecting glutamatergic cortical neuron,140218,Neuron
CL:4023011,lamp5 GABAergic cortical interneuron,374886,Neuron
CL:4023012,near-projecting glutamatergic cortical neuron,125010,Neuron
CL:4023013,corticothalamic-projecting glutamatergic cortical neuron,176550,Neuron
CL:4023015,sncg GABAergic cortical interneuron,122884,Neuron
CL:4023016,VIP GABAergic cortical interneuron,568252,Neuron
CL:4023017,sst GABAergic cortical interneuron,514975,Neuron
CL:4023018,pvalb GABAergic cortical interneuron,580783,Neuron
CL:4023026,direct pathway medium spiny neuron,5385,Neuron
CL:4023029,indirect pathway medium spiny neuron,6172,Neuron
CL:4023032,ON retinal ganglion cell,549,Neuron
CL:4023033,OFF retinal ganglion cell,1124,Neuron
CL:4023036,chandelier pvalb GABAergic cortical interneuron,70549,Neuron
CL:4023038,L6b glutamatergic cortical neuron,161341,Neuron
CL:4023040,L2/3-6 intratelencephalic projecting glutamatergic neuron,3861717,Neuron
CL:4023041,L5 extratelencephalic projecting glutamatergic cortical neuron,31409,Neuron
CL:4023042,L6 corticothalamic-projecting glutamatergic cortical neuron,4706,Neuron
CL:4023043,L5/6 near-projecting glutamatergic neuron of the primary motor cortex,1215,Neuron
CL:4023050,L6 intratelencephalic projecting glutamatergic neuron of the primary motor cortex,4206,Neuron
CL:4023051,vascular leptomeningeal cell,22550,Fibroblast
CL:4023054,mesothelial fibroblast,232,Fibroblast
CL:4023059,differentiation-committed oligodendrocyte precursor,1424,Glial cell
CL:4023064,caudal ganglionic eminence derived interneuron,83615,Neuron
CL:4023069,medial ganglionic eminence derived GABAergic cortical interneuron,12808,Neuron
CL:4023072,brain vascular cell,7437,Endothelial cell
CL:4023083,chandelier cell,490,Neuron
CL:4023111,cerebral cortex pyramidal neuron,320968,Neuron
CL:4023121,sst chodl GABAergic cortical interneuron,100,Neuron
CL:4023161,unipolar brush cell,3847,Neuron
CL:4023188,midget ganglion cell of retina,10103,Neuron
CL:4023189,parasol ganglion cell of retina,446,Neuron
CL:4028001,pulmonary capillary endothelial cell,42132,Endothelial cell
CL:4028002,alveolar capillary type 1 endothelial cell,15066,Endothelial cell
CL:4028003,alveolar capillary type 2 endothelial cell,14539,Endothelial cell
CL:4028004,alveolar type 1 fibroblast cell,50376,Fibroblast
CL:4028006,alveolar adventitial fibroblast,44487,Fibroblast
CL:4030006,fallopian tube secretory epithelial cell,465721,Epithelial cell
CL:4030009,epithelial cell of proximal tubule segment 1,777,Epithelial cell
CL:4030011,epithelial cell of proximal tubule segment 3,989,Epithelial cell
CL:4030018,kidney connecting tubule principal cell,107,Epithelial cell
CL:4030022,renal medullary fibroblast,5902,Fibroblast
CL:4030023,respiratory hillock cell,10170,Epithelial cell
CL:4030026,"BEST4+ intestinal epithelial cell, human",12340,Epithelial cell
CL:4030027,GABAergic amacrine cell,745686,Neuron
CL:4030028,glycinergic amacrine cell,278666,Neuron
CL:4030034,respiratory ciliated cell,4462,Epithelial cell
CL:4030055,intermediate cell of urothelium,27013,Epithelial cell
CL:4030056,umbrella cell of urothelium,5238,Epithelial cell
CL:4030059,L2/3 intratelencephalic projecting glutamatergic neuron,41418,Neuron
CL:4030063,L4 intratelencephalic projecting glutamatergic neuron,3978,Neuron
CL:4030067,L5/6 near-projecting glutamatergic neuron,1186,Neuron
CL:4033003,myoepithelial cell of bronchus submucosal gland,82,Epithelial cell
CL:4033005,serous secreting cell of bronchus submucosal gland,11609,Epithelial cell
CL:4033008,vein endothelial cell of respiratory system,11368,Endothelial cell
CL:4033013,suprabasal keratinocyte,3986,Epithelial cell
CL:4033014,peg cell,9787,Epithelial cell
CL:4033015,retinal astrocyte,373,Glial cell
CL:4033016,secondary crest myofibroblast,953,Fibroblast
CL:4033017,bronchiolar smooth muscle cell,634,Muscle cell
CL:4033018,lung megakaryocyte,41,Megakaryocyte/Platelet
CL:4033019,ON-blue cone bipolar cell,6044,Neuron
CL:4033022,mucus secreting cell of bronchus submucosal gland,295,Epithelial cell
CL:4033023,airway submucosal gland collecting duct epithelial cell,1009,Epithelial cell
CL:4033024,airway submucosal gland duct basal cell,2368,Epithelial cell
CL:4033026,lung perichondrial fibroblast,822,Fibroblast
CL:4033027,diffuse bipolar 1 cell,103856,Neuron
CL:4033028,diffuse bipolar 2 cell,141888,Neuron
CL:4033029,diffuse bipolar 3a cell,47167,Neuron
CL:4033030,diffuse bipolar 3b cell,73020,Neuron
CL:4033031,diffuse bipolar 4 cell,102613,Neuron
CL:4033032,diffuse bipolar 6 cell,39010,Neuron
CL:4033033,flat midget bipolar cell,301471,Neuron
CL:4033034,invaginating midget bipolar cell,228793,Neuron
CL:4033035,giant bipolar cell,52916,Neuron
CL:4033036,OFFx cell,31797,Other/Unknown
CL:4033037,mucus secreting cell of tracheobronchial tree submucosal gland,1113,Epithelial cell
CL:4033038,"lung resident memory CD4-positive, alpha-beta T cell",3718,T cell
CL:4033039,"lung resident memory CD8-positive, alpha-beta T cell",8397,T cell
CL:4033042,metallothionein-positive alveolar macrophage,820,Macrophage
CL:4033043,lung interstitial macrophage,7107,Macrophage
CL:4033044,deuterosomal cell,1264,Epithelial cell
CL:4033046,ON midget ganglion cell,303370,Neuron
CL:4033047,OFF midget ganglion cell,400804,Neuron
CL:4033048,respiratory suprabasal cell,26426,Epithelial cell
CL:4033051,OFF parasol ganglion cell,20208,Neuron
CL:4033052,ON parasol ganglion cell,12368,Neuron
CL:4033054,perivascular cell,394076,Pericyte
CL:4033057,luminal adaptive secretory precursor cell of mammary gland,755338,Progenitor/Stem cell
CL:4033058,luminal hormone-sensing cell of mammary gland,534342,Epithelial cell
CL:4040002,enteroglial cell,2969,Glial cell
unknown,unknown,2993011,Other/Unknown
